"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3261","5th card: clicking card reviews redirects to ""reviews"" tab on respective product card","UI_tests","Thu Mar 13 09:53:24 GMT 2025","passed","Thu Mar 13 09:53:27 GMT 2025","homePage.spec","homePage.spec.js","",""
"","3141","Check that Tees link opens the corresponding page","UI_tests","Thu Mar 13 09:53:16 GMT 2025","passed","Thu Mar 13 09:53:19 GMT 2025","salePage.spec","salePage.spec.js","",""
"","2796","Check that Pants link opens the corresponding page","UI_tests","Thu Mar 13 09:53:19 GMT 2025","passed","Thu Mar 13 09:53:22 GMT 2025","salePage.spec","salePage.spec.js","",""
"","2585","3rd card: clicking the card image redirects to the respective product card","UI_tests","Thu Mar 13 09:53:17 GMT 2025","passed","Thu Mar 13 09:53:19 GMT 2025","homePage.spec","homePage.spec.js","",""
"","1985","6th card: clicking the card name redirects to the respective product card","UI_tests","Thu Mar 13 09:53:26 GMT 2025","passed","Thu Mar 13 09:53:28 GMT 2025","homePage.spec","homePage.spec.js","",""
"","2880","Check that Shorts link opens the corresponding page","UI_tests","Thu Mar 13 09:53:20 GMT 2025","passed","Thu Mar 13 09:53:22 GMT 2025","salePage.spec","salePage.spec.js","",""
"","2347","Verify visibility of footer","UI_tests","Thu Mar 13 09:53:19 GMT 2025","passed","Thu Mar 13 09:53:21 GMT 2025","footer.spec","footer.spec.js","",""
"","4672","Verify that user can't register with password that starts and ends with spaces","UI_tests","Thu Mar 13 09:53:19 GMT 2025","passed","Thu Mar 13 09:53:24 GMT 2025","createAccuntPage.spec","createAccountPage.spec.js","",""
"","2301","6th card: clicking the card image redirects to the respective product card","UI_tests","Thu Mar 13 09:53:24 GMT 2025","passed","Thu Mar 13 09:53:26 GMT 2025","homePage.spec","homePage.spec.js","",""
"","7064","check Men/Tops price filter drop-down has 8 options","UI_tests","Thu Mar 13 09:53:16 GMT 2025","passed","Thu Mar 13 09:53:23 GMT 2025","menTops","menTops.spec.js","",""
"","5080","check Men/Tops price drop-down has quantity of available items in each price category","UI_tests","Thu Mar 13 09:53:23 GMT 2025","passed","Thu Mar 13 09:53:28 GMT 2025","menTops","menTops.spec.js","",""
"","2997","link ""Search Terms"" is clickabel","UI_tests","Thu Mar 13 09:53:25 GMT 2025","passed","Thu Mar 13 09:53:28 GMT 2025","footer.spec","footer.spec.js","",""
"","2519","3rd card: clicking the card name redirects to the respective product card","UI_tests","Thu Mar 13 09:53:17 GMT 2025","passed","Thu Mar 13 09:53:19 GMT 2025","homePage.spec","homePage.spec.js","",""
"","3036","Check that Jackets link opens the corresponding page","UI_tests","Thu Mar 13 09:53:16 GMT 2025","passed","Thu Mar 13 09:53:19 GMT 2025","salePage.spec","salePage.spec.js","",""
"","2243","Check navigation and deal section to the Sale page","UI_tests","Thu Mar 13 09:53:22 GMT 2025","passed","Thu Mar 13 09:53:24 GMT 2025","salePage.spec","salePage.spec.js","",""
"","1948","5th card: clicking the card name redirects to the respective product card","UI_tests","Thu Mar 13 09:53:22 GMT 2025","passed","Thu Mar 13 09:53:24 GMT 2025","homePage.spec","homePage.spec.js","",""
"","2223","4th card: clicking the card name redirects to the respective product card","UI_tests","Thu Mar 13 09:53:20 GMT 2025","passed","Thu Mar 13 09:53:22 GMT 2025","homePage.spec","homePage.spec.js","",""
"","2324","4th card: clicking the card image redirects to the respective product card","UI_tests","Thu Mar 13 09:53:20 GMT 2025","passed","Thu Mar 13 09:53:22 GMT 2025","homePage.spec","homePage.spec.js","",""
"","6553","displays the number of available products in the Insulated(5) category","UI_tests","Thu Mar 13 09:53:16 GMT 2025","passed","Thu Mar 13 09:53:23 GMT 2025","menTops","menTops.spec.js","",""
"","2488","redirect to Women Bottoms Shorts","UI_tests","Thu Mar 13 09:53:22 GMT 2025","passed","Thu Mar 13 09:53:25 GMT 2025","salePage.spec","salePage.spec.js","",""
"","2229","5th card: clicking the card image redirects to the respective product card","UI_tests","Thu Mar 13 09:53:22 GMT 2025","passed","Thu Mar 13 09:53:24 GMT 2025","homePage.spec","homePage.spec.js","",""
