"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3934","Verify message add to comparison list","UI_tests","Thu Mar 06 14:01:03 GMT 2025","passed","Thu Mar 06 14:01:07 GMT 2025","jacketsWomen.spec","jacketsWomen.spec.js","",""
"","7778","Men have breadcrumb navigation on the “Men/Bottoms” page and back","UI_tests","Thu Mar 06 14:01:06 GMT 2025","passed","Thu Mar 06 14:01:14 GMT 2025","","menBottomsBreadcrumbs.spec.js","",""
"","2731","verify the modal windows opens on click on shopping cart icon","UI_tests","Thu Mar 06 14:00:58 GMT 2025","passed","Thu Mar 06 14:01:01 GMT 2025","header.spec","header.spec.js","",""
"","5331","Verify that the user can navigate from the home page to the ""Women - Bottoms"" page","UI_tests","Thu Mar 06 14:01:23 GMT 2025","passed","Thu Mar 06 14:01:28 GMT 2025","homePage.spec","homePage.spec.js","",""
"","9559","verify the user can select Shorts subcategory from the dropdown","UI_tests","Thu Mar 06 14:01:20 GMT 2025","passed","Thu Mar 06 14:01:29 GMT 2025","menBottomsPage.spec","menBottomsPage.spec.js","",""
"","1803","Category block contains sub-categories: Tops and Bottoms which are links in blue text","UI_tests","Thu Mar 06 14:02:00 GMT 2025","passed","Thu Mar 06 14:02:02 GMT 2025","menPage.spec","menPage.spec.js","",""
"","2604","3rd card: clicking the card image redirects to the respective product card","UI_tests","Thu Mar 06 14:00:46 GMT 2025","passed","Thu Mar 06 14:00:48 GMT 2025","homePage.spec","homePage.spec.js","",""
"","7809","should be a link to ""Go to the wish list""","UI_tests","Thu Mar 06 14:01:49 GMT 2025","passed","Thu Mar 06 14:01:56 GMT 2025","menBottomWishList.spec","menBottomsWishList.spec.js","",""
"","9137","Verify login to existing account @smoke","UI_tests","Thu Mar 06 14:01:01 GMT 2025","passed","Thu Mar 06 14:01:10 GMT 2025","Sign in flow validation","testsPOM_advanced/auth/sign-in.spec.js","",""
"","5734","Verify that account can be created @smoke","UI_tests","Thu Mar 06 14:00:52 GMT 2025","passed","Thu Mar 06 14:00:58 GMT 2025","Sigh up flow validation","testsPOM_advanced/auth/create-account.spec.js","",""
"","4990","Verify that “Bags”, “Fitness equipment” and “Watches” to be placed under filter “Shop By Category” are clickable.","UI_tests","Thu Mar 06 14:00:53 GMT 2025","passed","Thu Mar 06 14:00:58 GMT 2025","gearPage.spec","gearPage.spec.js","",""
"","4045","Verify links visibility in the footer for logged-in user","UI_tests","Thu Mar 06 14:04:11 GMT 2025","passed","Thu Mar 06 14:04:15 GMT 2025","footer.spec","footer.spec.js","",""
"","4367","zoomPhoto in full screen","UI_tests","Thu Mar 06 14:04:25 GMT 2025","passed","Thu Mar 06 14:04:30 GMT 2025","fusionBackpackPage.spec","fusionBackpackPage.spec.js","",""
"","2604","Verify How We Use The Information We Collect header on the right side of the page matches navigation menu item","UI_tests","Thu Mar 06 14:01:07 GMT 2025","passed","Thu Mar 06 14:01:09 GMT 2025","privacyPolicyPage.spec","privacyPolicyPage.spec.js","",""
"","5747","check Men/Tops price drop-down has quantity of available items in each price category","UI_tests","Thu Mar 06 14:01:10 GMT 2025","passed","Thu Mar 06 14:01:16 GMT 2025","menTops","menTops.spec.js","",""
"","3970","Verify the related products are displayed after applying Stainless Steel Material filter on the Gear/Watches page","UI_tests","Thu Mar 06 14:01:07 GMT 2025","passed","Thu Mar 06 14:01:11 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","13756","After applying a $40.00 - $49.99 price filter, apropriate products are displayed on the page","UI_tests","Thu Mar 06 14:01:30 GMT 2025","passed","Thu Mar 06 14:01:44 GMT 2025","menTops","menTops.spec.js","",""
"","0","Verify Advanced Search is clickable and redirects logged-in user to the required page","UI_tests","Thu Mar 06 14:04:15 GMT 2025","skipped","Thu Mar 06 14:04:15 GMT 2025","footer.spec","footer.spec.js","",""
"","3171","Verify redirection to Men-Bottoms page from Men page","UI_tests","Thu Mar 06 14:00:52 GMT 2025","passed","Thu Mar 06 14:00:56 GMT 2025","menPage.spec","menPage.spec.js","",""
"","7734","Verify that Leather from material options list is visible and has right name","UI_tests","Thu Mar 06 14:00:34 GMT 2025","passed","Thu Mar 06 14:00:42 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","14354","After applying a $20.00 - $29.99 price filter, apropriate products are displayed on the page","UI_tests","Thu Mar 06 14:01:16 GMT 2025","passed","Thu Mar 06 14:01:30 GMT 2025","menTops","menTops.spec.js","",""
"","3815","slide photo in home mode","UI_tests","Thu Mar 06 14:04:21 GMT 2025","passed","Thu Mar 06 14:04:25 GMT 2025","fusionBackpackPage.spec","fusionBackpackPage.spec.js","",""
"","2383","2nd card: clicking the card name redirects to the respective product card","UI_tests","Thu Mar 06 14:01:18 GMT 2025","passed","Thu Mar 06 14:01:20 GMT 2025","homePage.spec","homePage.spec.js","",""
"","2484","verify display empty shopping cart message","UI_tests","Thu Mar 06 14:00:59 GMT 2025","passed","Thu Mar 06 14:01:02 GMT 2025","header.spec","header.spec.js","",""
