"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3512","should be a greeting with the users name","UI_tests","Tue Mar 11 13:58:52 GMT 2025","passed","Tue Mar 11 13:58:55 GMT 2025","signOut > ","signOut.spec.js","",""
"","4306","Verify a User can deselect all options at once","UI_tests","Tue Mar 11 14:01:10 GMT 2025","passed","Tue Mar 11 14:01:14 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","2095","Verify Others With Whom We Share Your Information. header on the right side of the page matches navigation menu item","UI_tests","Tue Mar 11 14:00:23 GMT 2025","passed","Tue Mar 11 14:00:25 GMT 2025","privacyPolicyPage.spec","privacyPolicyPage.spec.js","",""
"","5663","Ensure ""Base Layer"" category selected in the ""Style"" option aligns with the displayed category name on the page.","UI_tests","Tue Mar 11 13:59:09 GMT 2025","passed","Tue Mar 11 13:59:15 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","2449","Verify that Rayon from material options list is visible and has right name","UI_tests","Tue Mar 11 13:59:07 GMT 2025","passed","Tue Mar 11 13:59:10 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","13340","Validate the message - the product has been moved to your wish list","UI_tests","Tue Mar 11 13:58:39 GMT 2025","passed","Tue Mar 11 13:58:52 GMT 2025","shopping Cart","shoppingCart.spec.js","",""
"","3142","photo Product in full screen","UI_tests","Tue Mar 11 13:58:48 GMT 2025","passed","Tue Mar 11 13:58:51 GMT 2025","fusionBackpackPage.spec","fusionBackpackPage.spec.js","",""
"","5231","User can able to select a category from the suggested list of 2 (two) options: Shorts","UI_tests","Tue Mar 11 14:00:05 GMT 2025","passed","Tue Mar 11 14:00:10 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","5387","Product display mode change in the catalog to the List mode","UI_tests","Tue Mar 11 14:00:17 GMT 2025","passed","Tue Mar 11 14:00:23 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","11443","Validate link Move to Wish List located on the Shopping Cart page","UI_tests","Tue Mar 11 13:58:38 GMT 2025","passed","Tue Mar 11 13:58:50 GMT 2025","shopping Cart","shoppingCart.spec.js","",""
"","2189","Verify that each sub-category link in filter “Shop By Category” to be blue.","UI_tests","Tue Mar 11 13:59:18 GMT 2025","passed","Tue Mar 11 13:59:20 GMT 2025","gearPage.spec","gearPage.spec.js","",""
