"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3368","Verify that the correct breadcrumb navigation is displayed on the ""Training"" page and leading up to this section (Home > Training)","UI_tests","Wed Mar 12 18:17:47 GMT 2025","passed","Wed Mar 12 18:17:50 GMT 2025","trainingPage.spec","trainingPage.spec.js","",""
"","0","should be an ""Add to Cart"" button","UI_tests","Wed Mar 12 18:17:29 GMT 2025","skipped","Wed Mar 12 18:17:29 GMT 2025","menBottomWishList.spec","menBottomsWishList.spec.js","",""
"","6560","Verify navigating to ""Snug"" page from ""Style"" option","UI_tests","Wed Mar 12 18:16:00 GMT 2025","passed","Wed Mar 12 18:16:07 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","2567","Menu/Men available to click, see clothes only for men","UI_tests","Wed Mar 12 18:17:29 GMT 2025","passed","Wed Mar 12 18:17:31 GMT 2025","menPage.spec","menPage.spec.js","",""
"","5741","Verify navigating to ""Sweatpants"" page from ""Style"" option","UI_tests","Wed Mar 12 18:16:03 GMT 2025","passed","Wed Mar 12 18:16:09 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","4326","Verify message add to comparison list","UI_tests","Wed Mar 12 18:16:05 GMT 2025","passed","Wed Mar 12 18:16:10 GMT 2025","jacketsWomen.spec","jacketsWomen.spec.js","",""
"","2871","Menu/Men/Hot Sellers Verify user can click on product's name and be redirected to the Geo Insulated Jogging Pant page","UI_tests","Wed Mar 12 18:17:44 GMT 2025","passed","Wed Mar 12 18:17:47 GMT 2025","menPage.spec","menPage.spec.js","",""
"","7813","verify the ability to sort products in ascending order by price","UI_tests","Wed Mar 12 18:16:58 GMT 2025","passed","Wed Mar 12 18:17:06 GMT 2025","menTops","menTops.spec.js","",""
"","2439","Verify Your Choices Regarding Use Of The Information We Collect header on the right side of the page matches navigation menu item","UI_tests","Wed Mar 12 18:17:36 GMT 2025","passed","Wed Mar 12 18:17:38 GMT 2025","privacyPolicyPage.spec","privacyPolicyPage.spec.js","",""
"","2105","Verify that each sub-category link in filter “Shop By Category” to be blue.","UI_tests","Wed Mar 12 18:16:26 GMT 2025","passed","Wed Mar 12 18:16:28 GMT 2025","gearPage.spec","gearPage.spec.js","",""
"","5060","Verify that the User can use the “Compare Products” feature to compare different training products and identify their features and benefits","UI_tests","Wed Mar 12 18:17:54 GMT 2025","passed","Wed Mar 12 18:17:59 GMT 2025","trainingPage.spec","trainingPage.spec.js","",""
"","0","Verify the ""Clear All"" button after applying NEW filters on the Gear/Watches page","UI_tests","Wed Mar 12 18:16:28 GMT 2025","skipped","Wed Mar 12 18:16:28 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","2557","Redirect to ""Gear Bags"" page","UI_tests","Wed Mar 12 18:16:04 GMT 2025","passed","Wed Mar 12 18:16:07 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","4596","verify the result of choosing Category, Size, and Color shopping options","UI_tests","Wed Mar 12 18:17:37 GMT 2025","passed","Wed Mar 12 18:17:42 GMT 2025","topWomenPage.spec","topsWomenPage.spec.js","",""
"","0","Verify the ""Clear All"" button after applying MATERIAL filters on the Gear/Watches page","UI_tests","Wed Mar 12 18:16:28 GMT 2025","skipped","Wed Mar 12 18:16:28 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","6171","checkMyOrdersLink","UI_tests","Wed Mar 12 18:17:12 GMT 2025","passed","Wed Mar 12 18:17:18 GMT 2025","myOrders","myOrders.spec.js","",""
"","9778","Verify the related products are displayed after applying Silicone Material filter on the Gear/Watches page","UI_tests","Wed Mar 12 18:15:58 GMT 2025","passed","Wed Mar 12 18:16:08 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","2740","3rd card: clicking the card name redirects to the respective product card","UI_tests","Wed Mar 12 18:15:42 GMT 2025","passed","Wed Mar 12 18:15:45 GMT 2025","homePage.spec","homePage.spec.js","",""
