"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3212","BTN ""Page"" redirects to the corresponding page","UI_tests","Thu Mar 13 17:25:32 GMT 2025","passed","Thu Mar 13 17:25:36 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","1792","Verify that the ""Shop By Category"" section is displayed on the “Training” page","UI_tests","Thu Mar 13 17:25:08 GMT 2025","passed","Thu Mar 13 17:25:10 GMT 2025","trainingPage.spec","trainingPage.spec.js","",""
"","5404","Women/Bottoms/Shopping options/Price filter is displayed","UI_tests","Thu Mar 13 17:24:48 GMT 2025","passed","Thu Mar 13 17:24:53 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","5935","women tops display mode can be changed, visible","UI_tests","Thu Mar 13 17:24:56 GMT 2025","passed","Thu Mar 13 17:25:02 GMT 2025","topWomenPage.spec","topsWomenPage.spec.js","",""
"","17079","Verify that registered user can buy the product @smoke","UI_tests","Thu Mar 13 17:24:05 GMT 2025","passed","Thu Mar 13 17:24:22 GMT 2025","Shopping flow validation","testsPOM_advanced/shop/buy-item.spec.js","",""
"","14114","After applying a $30.00 - $39.99 price filter, apropriate products are displayed on the page","UI_tests","Thu Mar 13 17:23:36 GMT 2025","passed","Thu Mar 13 17:23:50 GMT 2025","menTops","menTops.spec.js","",""
"","2338","<Header/Header logo> Validate website has store logo","UI_tests","Thu Mar 13 17:24:01 GMT 2025","passed","Thu Mar 13 17:24:04 GMT 2025","header.spec","header.spec.js","",""
"","6585","Verify the related products are displayed after applying Metal Material filter on the Gear/Watches page","UI_tests","Thu Mar 13 17:23:15 GMT 2025","passed","Thu Mar 13 17:23:22 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","2653","Verify gearFitnessPage match aria snapshot","UI_tests","Thu Mar 13 17:25:52 GMT 2025","passed","Thu Mar 13 17:25:55 GMT 2025","gearFitnessPage.spec","gearFitnessPage.spec.js","",""
"","6661","Verify navigating to ""Base Layer"" page from ""Style"" option","UI_tests","Thu Mar 13 17:23:14 GMT 2025","passed","Thu Mar 13 17:23:21 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","0","remove item from wishlist by click X button in left-side section","UI_tests","Thu Mar 13 17:25:02 GMT 2025","skipped","Thu Mar 13 17:25:02 GMT 2025","topWomenPage.spec","topsWomenPage.spec.js","",""
"","7427","checkMyOrdersLink","UI_tests","Thu Mar 13 17:25:43 GMT 2025","passed","Thu Mar 13 17:25:50 GMT 2025","myOrders","myOrders.spec.js","",""
"","2516","User could navigate from the Gear menu to the Gear page","UI_tests","Thu Mar 13 17:24:07 GMT 2025","passed","Thu Mar 13 17:24:10 GMT 2025","header.spec","header.spec.js","",""
"","6269","Ensure ""Snug"" category selected in the ""Style"" option aligns with the displayed category name on the page.","UI_tests","Thu Mar 13 17:24:05 GMT 2025","passed","Thu Mar 13 17:24:11 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","8135","Verify the related products are displayed after applying Plastic Material filter on the Gear/Watches page","UI_tests","Thu Mar 13 17:23:20 GMT 2025","passed","Thu Mar 13 17:23:28 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","4905","Check that user can possible to create account with entered all valid fields","UI_tests","Thu Mar 13 17:25:04 GMT 2025","passed","Thu Mar 13 17:25:09 GMT 2025","createAccuntPage.spec","createAccountPage.spec.js","",""
"","6502","verify the ability to sort products in ascending order by price","UI_tests","Thu Mar 13 17:24:28 GMT 2025","passed","Thu Mar 13 17:24:34 GMT 2025","menTops","menTops.spec.js","",""
"","2911","verify user can navigate to home page clicking on logo from ""What's New"" page","UI_tests","Thu Mar 13 17:24:08 GMT 2025","passed","Thu Mar 13 17:24:11 GMT 2025","homePage.spec","homePage.spec.js","",""
