"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2840","5th card: clicking the card name redirects to the respective product card","UI_tests","Tue Mar 11 21:13:46 GMT 2025","passed","Tue Mar 11 21:13:49 GMT 2025","homePage.spec","homePage.spec.js","",""
"","1752","Check that all required fields are presented and empty in ""Create New Customer Account"" form","UI_tests","Tue Mar 11 21:15:51 GMT 2025","passed","Tue Mar 11 21:15:52 GMT 2025","createAccuntPage.spec","createAccountPage.spec.js","",""
"","16628","After applying a $50.00 - $59.99 price filter, apropriate products are displayed on the page","UI_tests","Tue Mar 11 21:14:25 GMT 2025","passed","Tue Mar 11 21:14:42 GMT 2025","menTops","menTops.spec.js","",""
"","5151","Verify that account can be created @smoke","UI_tests","Tue Mar 11 21:14:26 GMT 2025","passed","Tue Mar 11 21:14:31 GMT 2025","Sigh up flow validation","testsPOM_advanced/auth/create-account.spec.js","",""
"","0","Verify the ""Clear All"" button after applying NEW filters on the Gear/Watches page","UI_tests","Tue Mar 11 21:15:38 GMT 2025","skipped","Tue Mar 11 21:15:38 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","5798","verify the result of choosing Category, Size, and Color shopping options","UI_tests","Tue Mar 11 21:16:55 GMT 2025","passed","Tue Mar 11 21:17:00 GMT 2025","topWomenPage.spec","topsWomenPage.spec.js","",""
"","1819","<Header/Header logo> Validate website has store logo","UI_tests","Tue Mar 11 21:14:32 GMT 2025","passed","Tue Mar 11 21:14:34 GMT 2025","header.spec","header.spec.js","",""
"","51645","Checking that the list is selected and has 10 positions by defaultBottoms","UI_tests","Tue Mar 11 21:16:25 GMT 2025","failed","Tue Mar 11 21:17:16 GMT 2025","menBottomsPage.spec","menBottomsPage.spec.js","",""
"","15865","After applying a $70.00 - $79.99 price filter, apropriate products are displayed on the page","UI_tests","Tue Mar 11 21:14:42 GMT 2025","passed","Tue Mar 11 21:14:58 GMT 2025","menTops","menTops.spec.js","",""
"","6655","Ensure ""Track Pants"" category selected in the ""Style"" option aligns with the displayed category name on the page.","UI_tests","Tue Mar 11 21:14:46 GMT 2025","passed","Tue Mar 11 21:14:53 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","6759","User can able to select a category from the suggested list of 2 (two) options: Shorts","UI_tests","Tue Mar 11 21:15:24 GMT 2025","passed","Tue Mar 11 21:15:31 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","4782","verify user can navigate to home page clicking on logo from ""What's New"" page","UI_tests","Tue Mar 11 21:14:37 GMT 2025","passed","Tue Mar 11 21:14:42 GMT 2025","homePage.spec","homePage.spec.js","",""
"","2004","verify display the shopping cart icon","UI_tests","Tue Mar 11 21:14:24 GMT 2025","passed","Tue Mar 11 21:14:26 GMT 2025","header.spec","header.spec.js","",""
"","2678","Verify Your California Privacy Rights header on the right side of the page matches navigation menu item","UI_tests","Tue Mar 11 21:15:58 GMT 2025","passed","Tue Mar 11 21:16:01 GMT 2025","privacyPolicyPage.spec","privacyPolicyPage.spec.js","",""
"","3240","Verify the modal windows can close","UI_tests","Tue Mar 11 21:14:34 GMT 2025","passed","Tue Mar 11 21:14:37 GMT 2025","header.spec","header.spec.js","",""
"","2315","Verify that a User can change mode of products","UI_tests","Tue Mar 11 21:15:21 GMT 2025","passed","Tue Mar 11 21:15:23 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","5905","Verify that the user can navigate from the home page to the ""Women - Bottoms"" page","UI_tests","Tue Mar 11 21:15:12 GMT 2025","passed","Tue Mar 11 21:15:18 GMT 2025","homePage.spec","homePage.spec.js","",""
"","0","should be a delete item button, a cross","UI_tests","Tue Mar 11 21:15:40 GMT 2025","skipped","Tue Mar 11 21:15:40 GMT 2025","menBottomWishList.spec","menBottomsWishList.spec.js","",""
"","3385","Verify that Mesh from material options list is visible and has right name","UI_tests","Tue Mar 11 21:14:50 GMT 2025","passed","Tue Mar 11 21:14:53 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","5178","Check that Hoodies and Sweatshirts link opens the corresponding page","UI_tests","Tue Mar 11 21:17:00 GMT 2025","passed","Tue Mar 11 21:17:05 GMT 2025","salePage.spec","salePage.spec.js","",""
"","9126","Verify that ""Search terms"" link redirects to the ""Popular Search Terms"" page","UI_tests","Tue Mar 11 21:15:47 GMT 2025","passed","Tue Mar 11 21:15:57 GMT 2025","footer.spec","footer.spec.js","",""
"","7090","Verify that the number of products displayed matches the count for the ""Leggings"" category","UI_tests","Tue Mar 11 21:15:03 GMT 2025","passed","Tue Mar 11 21:15:10 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","4073","Verify visibility of sections with discounted items on Sale page","UI_tests","Tue Mar 11 21:17:02 GMT 2025","passed","Tue Mar 11 21:17:07 GMT 2025","salePage.spec","salePage.spec.js","",""
"","7076","Verify that the number of products displayed matches the count for the ""Base Layer"" category","UI_tests","Tue Mar 11 21:14:51 GMT 2025","passed","Tue Mar 11 21:14:58 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","5916","Ensure ""Sweatpants"" category selected in the ""Style"" option aligns with the displayed category name on the page.","UI_tests","Tue Mar 11 21:14:45 GMT 2025","passed","Tue Mar 11 21:14:51 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","2963","1st card: clicking card image redirects to respective product card","UI_tests","Tue Mar 11 21:14:46 GMT 2025","passed","Tue Mar 11 21:14:49 GMT 2025","homePage.spec","homePage.spec.js","",""
"","2303","Verify The Information We Collect header on the right side of the page matches navigation menu item","UI_tests","Tue Mar 11 21:15:46 GMT 2025","passed","Tue Mar 11 21:15:49 GMT 2025","privacyPolicyPage.spec","privacyPolicyPage.spec.js","",""
"","2531","User could navigate from the Gear menu to the Gear page","UI_tests","Tue Mar 11 21:14:36 GMT 2025","passed","Tue Mar 11 21:14:39 GMT 2025","header.spec","header.spec.js","",""
"","3262","TC 04.1.3_01 Verify the “NEW IN MEN'S section is displayed on the What's New page","UI_tests","Tue Mar 11 21:17:27 GMT 2025","passed","Tue Mar 11 21:17:30 GMT 2025","whatIsNewPage.spec","whatsNewPage.spec.js","",""
"","2250","Verify the Create an Account link is displayed on the main page in the header","UI_tests","Tue Mar 11 21:14:17 GMT 2025","passed","Tue Mar 11 21:14:19 GMT 2025","header.spec","header.spec.js","",""
"","15924","item is added to wishlist in left-side section after user logs in","UI_tests","Tue Mar 11 21:17:00 GMT 2025","passed","Tue Mar 11 21:17:16 GMT 2025","topWomenPage.spec","topsWomenPage.spec.js","",""
"","3949","Verify that user can't register with password that starts with spaces","UI_tests","Tue Mar 11 21:15:56 GMT 2025","passed","Tue Mar 11 21:16:00 GMT 2025","createAccuntPage.spec","createAccountPage.spec.js","",""
"","3217","Check that user can't register with password less than 8 characters","UI_tests","Tue Mar 11 21:15:52 GMT 2025","passed","Tue Mar 11 21:15:56 GMT 2025","createAccuntPage.spec","createAccountPage.spec.js","",""
"","4120","slide photo in home mode","UI_tests","Tue Mar 11 21:14:09 GMT 2025","passed","Tue Mar 11 21:14:13 GMT 2025","fusionBackpackPage.spec","fusionBackpackPage.spec.js","",""
"","3625","verify display empty shopping cart message","UI_tests","Tue Mar 11 21:14:29 GMT 2025","passed","Tue Mar 11 21:14:32 GMT 2025","header.spec","header.spec.js","",""
"","1942","Verify Acceptance header on the right side of the page matches navigation menu item","UI_tests","Tue Mar 11 21:16:12 GMT 2025","passed","Tue Mar 11 21:16:14 GMT 2025","privacyPolicyPage.spec","privacyPolicyPage.spec.js","",""
"","16664","After applying a $20.00 - $29.99 price filter, apropriate products are displayed on the page","UI_tests","Tue Mar 11 21:14:01 GMT 2025","passed","Tue Mar 11 21:14:18 GMT 2025","menTops","menTops.spec.js","",""
"","1","Verify that user can apply the filter for categories within the Category dd list and reset the filter","UI_tests","Tue Mar 11 21:15:02 GMT 2025","skipped","Tue Mar 11 21:15:02 GMT 2025","menTops","menTops.spec.js","",""
"","6446","verify the user can select Pants subcategory from the dropdown","UI_tests","Tue Mar 11 21:14:23 GMT 2025","passed","Tue Mar 11 21:14:29 GMT 2025","menBottomsPage.spec","menBottomsPage.spec.js","",""
"","3956","Verify the related products are displayed after applying Rubber Material filter on the Gear/Watches page","UI_tests","Tue Mar 11 21:13:53 GMT 2025","passed","Tue Mar 11 21:13:57 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","3037","Verification clickables elements in product's card","UI_tests","Tue Mar 11 21:13:53 GMT 2025","passed","Tue Mar 11 21:13:56 GMT 2025","homePage.spec","homePage.spec.js","",""
"","2584","Verify user can make search entered the valid text in the search field","UI_tests","Tue Mar 11 21:14:44 GMT 2025","passed","Tue Mar 11 21:14:46 GMT 2025","homePage.spec","homePage.spec.js","",""
"","5562","Women/Bottoms/Shopping options/Price filter is displayed","UI_tests","Tue Mar 11 21:15:27 GMT 2025","passed","Tue Mar 11 21:15:33 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","1","should be the ""Log out"" link, the user logs out of his account by clicking on it","UI_tests","Tue Mar 11 21:14:25 GMT 2025","skipped","Tue Mar 11 21:14:25 GMT 2025","signOut > ","signOut.spec.js","",""
"","4059","Verify that Leather from material options list is visible and has right name","UI_tests","Tue Mar 11 21:14:46 GMT 2025","passed","Tue Mar 11 21:14:50 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","2334","2nd card: clicking the card name redirects to the respective product card","UI_tests","Tue Mar 11 21:15:02 GMT 2025","passed","Tue Mar 11 21:15:04 GMT 2025","homePage.spec","homePage.spec.js","",""
"","1265","Verify user can hover over the title “Women” and see dropdown list with 2 subcategories","UI_tests","Tue Mar 11 21:14:55 GMT 2025","passed","Tue Mar 11 21:14:56 GMT 2025","homePage.spec","homePage.spec.js","",""
"","2890","Verify Luma Privacy Policy header on the right side of the page matches navigation menu item","UI_tests","Tue Mar 11 21:15:43 GMT 2025","passed","Tue Mar 11 21:15:46 GMT 2025","privacyPolicyPage.spec","privacyPolicyPage.spec.js","",""
"","0","Verify Category options Timepiece on gearWatchesPage","UI_tests","Tue Mar 11 21:14:16 GMT 2025","skipped","Tue Mar 11 21:14:16 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","6637","Verify that “Bags”, “Fitness equipment” and “Watches” to be placed under filter “Shop By Category” are clickable.","UI_tests","Tue Mar 11 21:15:31 GMT 2025","passed","Tue Mar 11 21:15:38 GMT 2025","gearPage.spec","gearPage.spec.js","",""
"","7425","Ensure ""Compression"" category selected in the ""Style"" option aligns with the displayed category name on the page.","UI_tests","Tue Mar 11 21:14:29 GMT 2025","passed","Tue Mar 11 21:14:37 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","2748","verify the modal windows opens on click on shopping cart icon","UI_tests","Tue Mar 11 21:14:26 GMT 2025","passed","Tue Mar 11 21:14:29 GMT 2025","header.spec","header.spec.js","",""
"","6729","verify message displayed in Wish List Section for Empty Wish List","UI_tests","Tue Mar 11 21:16:35 GMT 2025","passed","Tue Mar 11 21:16:42 GMT 2025","topWomenPage.spec","topsWomenPage.spec.js","",""
"","4281","Verify that user can't register with password that starts and ends with spaces","UI_tests","Tue Mar 11 21:13:41 GMT 2025","passed","Tue Mar 11 21:13:46 GMT 2025","createAccuntPage.spec","createAccountPage.spec.js","",""
"","4326","exiting full screen mode pressing Escape","UI_tests","Tue Mar 11 21:14:29 GMT 2025","passed","Tue Mar 11 21:14:33 GMT 2025","fusionBackpackPage.spec","fusionBackpackPage.spec.js","",""
"","6802","verify the sidebar is on the left","UI_tests","Tue Mar 11 21:14:16 GMT 2025","passed","Tue Mar 11 21:14:23 GMT 2025","menBottomsPage.spec","menBottomsPage.spec.js","",""
"","0","Verify the ""Clear All"" button after applying MATERIAL filters on the Gear/Watches page","UI_tests","Tue Mar 11 21:15:38 GMT 2025","skipped","Tue Mar 11 21:15:38 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","7353","Verify navigating to ""Sweatpants"" page from ""Style"" option","UI_tests","Tue Mar 11 21:14:10 GMT 2025","passed","Tue Mar 11 21:14:17 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","15786","Validate the message - the product has been moved to your wish list","UI_tests","Tue Mar 11 21:14:00 GMT 2025","passed","Tue Mar 11 21:14:16 GMT 2025","shopping Cart","shoppingCart.spec.js","",""
"","1","RF_TC 10.3.1_13 Registration/Create Account as a new user","UI_tests","Tue Mar 11 21:15:51 GMT 2025","skipped","Tue Mar 11 21:15:51 GMT 2025","createAccuntPage.spec","createAccountPage.spec.js","",""
"","1899","Verify Cookies, Web Beacons, and How We Use Them header on the right side of the page matches navigation menu item","UI_tests","Tue Mar 11 21:16:01 GMT 2025","passed","Tue Mar 11 21:16:03 GMT 2025","privacyPolicyPage.spec","privacyPolicyPage.spec.js","",""
"","3285","Men page contains Shop by category block which is located on the left side of the page","UI_tests","Tue Mar 11 21:15:44 GMT 2025","passed","Tue Mar 11 21:15:47 GMT 2025","menPage.spec","menPage.spec.js","",""
"","7196","verify that the quantity of available items is visible","UI_tests","Tue Mar 11 21:15:05 GMT 2025","passed","Tue Mar 11 21:15:12 GMT 2025","menBottomsPage.spec","menBottomsPage.spec.js","",""
"","2919","Verify the navigation menu has 14 items, and they have correct names","UI_tests","Tue Mar 11 21:15:37 GMT 2025","passed","Tue Mar 11 21:15:40 GMT 2025","privacyPolicyPage.spec","privacyPolicyPage.spec.js","",""
"","2958","Verify that Rayon from material options list is visible and has right name","UI_tests","Tue Mar 11 21:15:02 GMT 2025","passed","Tue Mar 11 21:15:05 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","1","Verify the ""Clear All"" button after applying ACTIVITY filters on the Gear/Watches page","UI_tests","Tue Mar 11 21:15:38 GMT 2025","skipped","Tue Mar 11 21:15:38 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","2280","Menu/Men/Hot Sellers Verify user can click on product's name and be redirected to the Argus All-Weather Tank page","UI_tests","Tue Mar 11 21:15:55 GMT 2025","passed","Tue Mar 11 21:15:57 GMT 2025","menPage.spec","menPage.spec.js","",""
"","10680","Verify the related products are displayed after applying Plastic Material filter on the Gear/Watches page","UI_tests","Tue Mar 11 21:13:42 GMT 2025","passed","Tue Mar 11 21:13:53 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","4886","BTN ""Page"" redirects to the corresponding page","UI_tests","Tue Mar 11 21:15:08 GMT 2025","passed","Tue Mar 11 21:15:12 GMT 2025","gearBags.spec","gearBags.spec.js","",""
