"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4953","verify message displayed in Wish List Section for Empty Wish List","UI_tests","Mon Mar 10 10:00:14 GMT 2025","passed","Mon Mar 10 10:00:19 GMT 2025","topWomenPage.spec","topsWomenPage.spec.js","",""
"","2259","Verify that Burlap from material options list is visible and has right name","UI_tests","Mon Mar 10 09:59:09 GMT 2025","passed","Mon Mar 10 09:59:12 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","8405","verify the user can select Pants subcategory from the dropdown","UI_tests","Mon Mar 10 09:59:13 GMT 2025","passed","Mon Mar 10 09:59:21 GMT 2025","menBottomsPage.spec","menBottomsPage.spec.js","",""
"","6013","Verify that the number of products displayed matches the count for the ""Basic"" category","UI_tests","Mon Mar 10 09:59:45 GMT 2025","passed","Mon Mar 10 09:59:51 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","2365","4th card: clicking the card image redirects to the respective product card","UI_tests","Mon Mar 10 09:58:47 GMT 2025","passed","Mon Mar 10 09:58:49 GMT 2025","homePage.spec","homePage.spec.js","",""
"","12358","Redirected to the updated Shopping cart page after add item to Wish List","UI_tests","Mon Mar 10 10:00:03 GMT 2025","passed","Mon Mar 10 10:00:16 GMT 2025","shopping Cart","shoppingCart.spec.js","",""
"","5428","check quantity of items is displayed","UI_tests","Mon Mar 10 10:00:26 GMT 2025","passed","Mon Mar 10 10:00:31 GMT 2025","menTops","menTops.spec.js","",""
"","5581","On the page Bottoms - Womens page there are 5 options for sizes 28, 29, 30, 31, 32.","UI_tests","Mon Mar 10 10:00:21 GMT 2025","passed","Mon Mar 10 10:00:27 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","1947","Check that all required fields are presented and empty in ""Create New Customer Account"" form","UI_tests","Mon Mar 10 10:00:37 GMT 2025","passed","Mon Mar 10 10:00:39 GMT 2025","createAccuntPage.spec","createAccountPage.spec.js","",""
"","1536","Gear drop-down menu contains: Bags, Fitness equipment, Watches items","UI_tests","Mon Mar 10 09:59:30 GMT 2025","passed","Mon Mar 10 09:59:32 GMT 2025","header.spec","header.spec.js","",""
"","0","Verify the Shopping options dropdown list items on the Gear/Watches page","UI_tests","Mon Mar 10 09:59:03 GMT 2025","skipped","Mon Mar 10 09:59:03 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","5973","Verify that the number of products displayed matches the count for the ""Parachute"" category","UI_tests","Mon Mar 10 09:59:57 GMT 2025","passed","Mon Mar 10 10:00:03 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","5701","Apply filter ""Leather"" and verify that each bag has selected material in the description","UI_tests","Mon Mar 10 09:59:22 GMT 2025","passed","Mon Mar 10 09:59:28 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","6227","Ensure ""Basic"" category selected in the ""Style"" option aligns with the displayed category name on the page.","UI_tests","Mon Mar 10 09:59:18 GMT 2025","passed","Mon Mar 10 09:59:25 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","6062","Verify that button Clear All can deselect options","UI_tests","Mon Mar 10 09:59:32 GMT 2025","passed","Mon Mar 10 09:59:38 GMT 2025","menBottomsPage.spec","menBottomsPage.spec.js","",""
"","2187","5th card: clicking the card image redirects to the respective product card","UI_tests","Mon Mar 10 09:58:49 GMT 2025","passed","Mon Mar 10 09:58:52 GMT 2025","homePage.spec","homePage.spec.js","",""
"","2487","Verify that Nylon from material options list is visible and has right name","UI_tests","Mon Mar 10 09:59:15 GMT 2025","passed","Mon Mar 10 09:59:17 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","9911","Verify the related products are displayed after applying Silicone Material filter on the Gear/Watches page","UI_tests","Mon Mar 10 09:58:53 GMT 2025","passed","Mon Mar 10 09:59:03 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","2104","Menu/Men/Hot Sellers Verify user can click on product's name and be redirected to the Meteor Workout Short page","UI_tests","Mon Mar 10 10:00:09 GMT 2025","passed","Mon Mar 10 10:00:11 GMT 2025","menPage.spec","menPage.spec.js","",""
"","12503","Verify that unregistered user can buy the product @smoke","UI_tests","Mon Mar 10 09:59:26 GMT 2025","passed","Mon Mar 10 09:59:39 GMT 2025","Shopping flow validation","testsPOM_advanced/shop/buy-item.spec.js","",""
"","5036","verify the sidebar is on the left","UI_tests","Mon Mar 10 09:59:11 GMT 2025","passed","Mon Mar 10 09:59:16 GMT 2025","menBottomsPage.spec","menBottomsPage.spec.js","",""
"","1947","Verify that clicking on the ""Video Download"" link redirects to the correct ""Video Download"" page","UI_tests","Mon Mar 10 10:00:40 GMT 2025","passed","Mon Mar 10 10:00:42 GMT 2025","trainingPage.spec","trainingPage.spec.js","",""
"","10883","Filter Products By ActivityType on gearWatchesPage","UI_tests","Mon Mar 10 09:59:03 GMT 2025","passed","Mon Mar 10 09:59:14 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","2404","Verify that Leather from material options list is visible and has right name","UI_tests","Mon Mar 10 09:59:12 GMT 2025","passed","Mon Mar 10 09:59:15 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","2214","6th card: clicking the card image redirects to the respective product card","UI_tests","Mon Mar 10 09:58:52 GMT 2025","passed","Mon Mar 10 09:58:54 GMT 2025","homePage.spec","homePage.spec.js","",""
"","2412","Verify visability of Shopping Option in the menu on the left side","UI_tests","Mon Mar 10 10:01:01 GMT 2025","passed","Mon Mar 10 10:01:03 GMT 2025","womenTopsPage.spec","womenTops.spec.js","",""
"","1853","6th card: clicking the card name redirects to the respective product card","UI_tests","Mon Mar 10 09:58:54 GMT 2025","passed","Mon Mar 10 09:58:56 GMT 2025","homePage.spec","homePage.spec.js","",""
"","6729","verify the ability to sort products in ascending order by price","UI_tests","Mon Mar 10 10:00:12 GMT 2025","passed","Mon Mar 10 10:00:18 GMT 2025","menTops","menTops.spec.js","",""
"","8587","Checking that the list is selected and has 10 positions by defaultBottoms","UI_tests","Mon Mar 10 10:00:17 GMT 2025","passed","Mon Mar 10 10:00:25 GMT 2025","menBottomsPage.spec","menBottomsPage.spec.js","",""
"","1923","Verify How We Use The Information We Collect header on the right side of the page matches navigation menu item","UI_tests","Mon Mar 10 10:00:37 GMT 2025","passed","Mon Mar 10 10:00:38 GMT 2025","privacyPolicyPage.spec","privacyPolicyPage.spec.js","",""
"","9039","Verify login to existing account @smoke","UI_tests","Mon Mar 10 09:59:17 GMT 2025","passed","Mon Mar 10 09:59:26 GMT 2025","Sign in flow validation","testsPOM_advanced/auth/sign-in.spec.js","",""
"","5936","Ensure ""Sweatpants"" category selected in the ""Style"" option aligns with the displayed category name on the page.","UI_tests","Mon Mar 10 09:59:37 GMT 2025","passed","Mon Mar 10 09:59:43 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","4468","Verify the related products are displayed after applying Stainless Steel Material filter on the Gear/Watches page","UI_tests","Mon Mar 10 09:58:49 GMT 2025","passed","Mon Mar 10 09:58:53 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","0","Verify the ""Clear All"" button after applying NEW filters on the Gear/Watches page","UI_tests","Mon Mar 10 09:59:31 GMT 2025","skipped","Mon Mar 10 09:59:31 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","0","Verify the ""Clear All"" button after applying MATERIAL filters on the Gear/Watches page","UI_tests","Mon Mar 10 09:59:31 GMT 2025","skipped","Mon Mar 10 09:59:31 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","2190","4th card: clicking the card name redirects to the respective product card","UI_tests","Mon Mar 10 09:58:47 GMT 2025","passed","Mon Mar 10 09:58:49 GMT 2025","homePage.spec","homePage.spec.js","",""
"","3155","exiting full screen mode clicking on the close button","UI_tests","Mon Mar 10 09:59:04 GMT 2025","passed","Mon Mar 10 09:59:07 GMT 2025","fusionBackpackPage.spec","fusionBackpackPage.spec.js","",""
"","6305","Ensure ""Base Layer"" category selected in the ""Style"" option aligns with the displayed category name on the page.","UI_tests","Mon Mar 10 09:59:14 GMT 2025","passed","Mon Mar 10 09:59:20 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","1","RF_TC 10.3.1_13 Registration/Create Account as a new user","UI_tests","Mon Mar 10 10:00:37 GMT 2025","skipped","Mon Mar 10 10:00:37 GMT 2025","createAccuntPage.spec","createAccountPage.spec.js","",""
"","9929","Verify the related products are displayed after applying Rubber Material filter on the Gear/Watches page","UI_tests","Mon Mar 10 09:58:48 GMT 2025","passed","Mon Mar 10 09:58:57 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","5319","verify that the quantity of available items is visible","UI_tests","Mon Mar 10 09:59:26 GMT 2025","passed","Mon Mar 10 09:59:32 GMT 2025","menBottomsPage.spec","menBottomsPage.spec.js","",""
"","5800","Ensure ""Snug"" category selected in the ""Style"" option aligns with the displayed category name on the page.","UI_tests","Mon Mar 10 09:59:33 GMT 2025","passed","Mon Mar 10 09:59:39 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","2830","Check that Tees link opens the corresponding page","UI_tests","Mon Mar 10 09:58:42 GMT 2025","passed","Mon Mar 10 09:58:44 GMT 2025","salePage.spec","salePage.spec.js","",""
"","1778","Verify visibility of sections with discounted items on Sale page","UI_tests","Mon Mar 10 10:01:28 GMT 2025","passed","Mon Mar 10 10:01:30 GMT 2025","salePage.spec","salePage.spec.js","",""
"","0","Verify Category options Timepiece on gearWatchesPage","UI_tests","Mon Mar 10 09:59:12 GMT 2025","skipped","Mon Mar 10 09:59:12 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","6441","Verify navigating to ""Snug"" page from ""Style"" option","UI_tests","Mon Mar 10 09:59:05 GMT 2025","passed","Mon Mar 10 09:59:12 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","6320","Verify that Men/Tops price filter is eliminated after clicking on the Clear All button","UI_tests","Mon Mar 10 09:59:57 GMT 2025","passed","Mon Mar 10 10:00:04 GMT 2025","menTops","menTops.spec.js","",""
"","1783","Verify logic for required fields","UI_tests","Mon Mar 10 09:59:15 GMT 2025","passed","Mon Mar 10 09:59:17 GMT 2025","Sigh up flow validation","testsPOM_advanced/auth/create-account.spec.js","",""
"","1954","Verify that the correct breadcrumb navigation is displayed on the ""Training"" page and leading up to this section (Home > Training)","UI_tests","Mon Mar 10 10:00:35 GMT 2025","passed","Mon Mar 10 10:00:36 GMT 2025","trainingPage.spec","trainingPage.spec.js","",""
