"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3620","clicking AddToWishList button redirects guest users to Login page","UI_tests","Thu Mar 06 11:21:39 GMT 2025","passed","Thu Mar 06 11:21:42 GMT 2025","topWomenPage.spec","topsWomenPage.spec.js","",""
"","17579","Verify Category options Timepiece on gearWatchesPage","UI_tests","Thu Mar 06 11:13:06 GMT 2025","failed","Thu Mar 06 11:13:23 GMT 2025","gearWatchesPage.spec","gearWatches.spec.js","",""
"","6018","Verify that the number of products displayed matches the count for the ""Leggings"" category","UI_tests","Thu Mar 06 11:06:53 GMT 2025","passed","Thu Mar 06 11:06:59 GMT 2025","bottomsWomenPage.spec","bottomsWomenPage.spec.js","",""
"","1787","6th card: clicking the card image redirects to the respective product card","UI_tests","Thu Mar 06 11:14:26 GMT 2025","passed","Thu Mar 06 11:14:28 GMT 2025","homePage.spec","homePage.spec.js","",""
"","16308","Verify that registered user can buy the product @smoke","UI_tests","Thu Mar 06 11:21:12 GMT 2025","passed","Thu Mar 06 11:21:28 GMT 2025","Shopping flow validation","testsPOM_advanced/shop/buy-item.spec.js","",""
"","6801","""Proceed to Checkout"" button in the Shopping Cart Modal Window is visible, clickable, and redirects to the Shipping Page","UI_tests","Thu Mar 06 11:13:26 GMT 2025","passed","Thu Mar 06 11:13:33 GMT 2025","header.spec","header.spec.js","",""
"","2211","Verify that Nylon from material options list is visible and has right name","UI_tests","Thu Mar 06 11:11:00 GMT 2025","passed","Thu Mar 06 11:11:02 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","1725","Men page contains Shop by category block which is located on the left side of the page","UI_tests","Thu Mar 06 11:16:01 GMT 2025","passed","Thu Mar 06 11:16:03 GMT 2025","menPage.spec","menPage.spec.js","",""
"","2345","Verify that Rayon from material options list is visible and has right name","UI_tests","Thu Mar 06 11:11:05 GMT 2025","passed","Thu Mar 06 11:11:07 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","2531","Verify that Polyester from material options list is visible and has right name","UI_tests","Thu Mar 06 11:11:02 GMT 2025","passed","Thu Mar 06 11:11:05 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","17622","Verify Category options Exercise on gearWatchesPage","UI_tests","Thu Mar 06 11:12:29 GMT 2025","failed","Thu Mar 06 11:12:47 GMT 2025","gearWatchesPage.spec","gearWatches.spec.js","",""
"","2450","Check that Shorts link opens the corresponding page","UI_tests","Thu Mar 06 11:19:42 GMT 2025","passed","Thu Mar 06 11:19:45 GMT 2025","salePage.spec","salePage.spec.js","",""
"","7832","Verify that Men/Tops price filter is eliminated after clicking on the Clear All button","UI_tests","Thu Mar 06 11:17:55 GMT 2025","failed","Thu Mar 06 11:18:03 GMT 2025","menTops","menTops.spec.js","",""
"","8452","verify the ability to sort products in descending order by price","UI_tests","Thu Mar 06 11:18:12 GMT 2025","failed","Thu Mar 06 11:18:21 GMT 2025","menTops","menTops.spec.js","",""
"","2509","redirect to Women Bottoms Shorts","UI_tests","Thu Mar 06 11:19:45 GMT 2025","passed","Thu Mar 06 11:19:47 GMT 2025","salePage.spec","salePage.spec.js","",""
"","2053","Verify Acceptance header on the right side of the page matches navigation menu item","UI_tests","Thu Mar 06 11:19:10 GMT 2025","passed","Thu Mar 06 11:19:12 GMT 2025","privacyPolicyPage.spec","privacyPolicyPage.spec.js","",""
"","1","should be the ""Log out"" link, the user logs out of his account by clicking on it","UI_tests","Thu Mar 06 11:20:44 GMT 2025","skipped","Thu Mar 06 11:20:44 GMT 2025","signOut.spec","signOut.spec.js","",""
