"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1589","Verify Logo picture is located from the left in all pages of site","UI_tests","Thu Mar 13 10:39:27 GMT 2025","passed","Thu Mar 13 10:39:28 GMT 2025","logo.spec","logo.spec.js","",""
"","13978","After applying a $90.00 and above price filter, apropriate products are displayed on the page","UI_tests","Thu Mar 13 10:40:12 GMT 2025","passed","Thu Mar 13 10:40:26 GMT 2025","menTops","menTops.spec.js","",""
"","1823","Men page contains Shop by category block which is located on the left side of the page","UI_tests","Thu Mar 13 10:40:16 GMT 2025","passed","Thu Mar 13 10:40:18 GMT 2025","menPage.spec","menPage.spec.js","",""
"","8493","Verify the related products are displayed after applying Plastic Material filter on the Gear/Watches page","UI_tests","Thu Mar 13 10:39:09 GMT 2025","passed","Thu Mar 13 10:39:17 GMT 2025","gearWatchesPage","gearWatches.spec.js","",""
"","21790","Verify that user can buy multiple items","UI_tests","Thu Mar 13 10:40:22 GMT 2025","passed","Thu Mar 13 10:40:44 GMT 2025","Batch shopping flow validation","testsPOM_advanced/shop/buy-multi-items.spec.js","",""
"","2007","Verify Online Account Registration header on the right side of the page matches navigation menu item","UI_tests","Thu Mar 13 10:41:15 GMT 2025","passed","Thu Mar 13 10:41:17 GMT 2025","privacyPolicyPage.spec","privacyPolicyPage.spec.js","",""
"","2468","Verify that Rayon from material options list is visible and has right name","UI_tests","Thu Mar 13 10:39:50 GMT 2025","passed","Thu Mar 13 10:39:53 GMT 2025","gearBags.spec","gearBags.spec.js","",""
"","2675","Check that Pants link opens the corresponding page","UI_tests","Thu Mar 13 10:39:14 GMT 2025","passed","Thu Mar 13 10:39:16 GMT 2025","salePage.spec","salePage.spec.js","",""
"","3156","Check that Tees link opens the corresponding page","UI_tests","Thu Mar 13 10:39:10 GMT 2025","passed","Thu Mar 13 10:39:14 GMT 2025","salePage.spec","salePage.spec.js","",""
"","5881","Ensure ""Leggings"" category selected in the ""Style"" option aligns with the displayed category name on the page.","UI_tests","Thu Mar 13 10:39:52 GMT 2025","passed","Thu Mar 13 10:39:58 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
"","7711","should be a wish list block with product details displayed on the page","UI_tests","Thu Mar 13 10:39:59 GMT 2025","passed","Thu Mar 13 10:40:06 GMT 2025","menBottomWishList.spec","menBottomsWishList.spec.js","",""
"","4500","verify the result of choosing Category, Size, and Color shopping options","UI_tests","Thu Mar 13 10:40:53 GMT 2025","passed","Thu Mar 13 10:40:58 GMT 2025","topWomenPage.spec","topsWomenPage.spec.js","",""
"","6234","verify the user can select Pants subcategory from the dropdown","UI_tests","Thu Mar 13 10:39:37 GMT 2025","passed","Thu Mar 13 10:39:43 GMT 2025","menBottomsPage.spec","menBottomsPage.spec.js","",""
"","1706","Verify visibility of sections with discounted items on Sale page","UI_tests","Thu Mar 13 10:41:51 GMT 2025","passed","Thu Mar 13 10:41:53 GMT 2025","salePage.spec","salePage.spec.js","",""
"","2659","Check that Shorts link opens the corresponding page","UI_tests","Thu Mar 13 10:39:14 GMT 2025","passed","Thu Mar 13 10:39:16 GMT 2025","salePage.spec","salePage.spec.js","",""
"","5892","Verify navigating to ""Capri"" page from ""Style"" option","UI_tests","Thu Mar 13 10:39:21 GMT 2025","passed","Thu Mar 13 10:39:27 GMT 2025","bottomsWomenPage >","bottomsWomenPage.spec.js","",""
